;DATE;T2M;PRECTOT;RH2M
151;2000-05-31;24.95;5.16;89.69
152;2000-06-01;25.1;21.07;92.03
153;2000-06-02;24.84;6.07;94.31
154;2000-06-03;25.35;3.37;89.43
155;2000-06-04;25.56;1.92;83.24
156;2000-06-05;25.49;0.18;81.45
157;2000-06-06;25.94;1.68;85.14
158;2000-06-07;26.07;4.38;86.43
159;2000-06-08;25.79;6.04;87.2
160;2000-06-09;25.53;4.01;86.17
161;2000-06-10;25.22;17.25;86.86
162;2000-06-11;25.68;3.5;83.95
163;2000-06-12;25.74;1.17;84.97
164;2000-06-13;25.66;2.35;85.07
165;2000-06-14;25.62;2.15;83.26
166;2000-06-15;25.41;6.93;87.35
167;2000-06-16;25.09;3.5;90.2
168;2000-06-17;25.82;0.73;82.87
169;2000-06-18;25.65;3.15;84.64
170;2000-06-19;25.45;7.78;87.79
171;2000-06-20;25.08;8.88;91.2
172;2000-06-21;25.45;9.02;88.93
173;2000-06-22;24.97;1.76;88.98
174;2000-06-23;25.14;3.39;84.68
175;2000-06-24;25.2;2.43;83.57
176;2000-06-25;25.27;1.13;82.43
177;2000-06-26;24.45;10.08;88.63
178;2000-06-27;24.29;2.78;89.41
179;2000-06-28;24.58;6.05;88.43
180;2000-06-29;24.4;2.57;87.17
181;2000-06-30;24.78;0.96;83.29
182;2000-07-01;25.19;0.98;83.02
183;2000-07-02;25.27;1.75;84.83
184;2000-07-03;25.34;5.66;85.92
185;2000-07-04;25.15;24.83;88.9
186;2000-07-05;25.59;5.12;86.68
187;2000-07-06;24.59;1.81;88.98
188;2000-07-07;24.59;1.18;86.35
189;2000-07-08;24.53;0.66;84.98
190;2000-07-09;24.63;1.21;84.88
191;2000-07-10;24.53;0.53;85.86
192;2000-07-11;25.16;0.36;84.32
193;2000-07-12;25.31;0.08;80.91
194;2000-07-13;24.68;0.18;79.41
195;2000-07-14;24.36;0.09;80.36
196;2000-07-15;24.4;0.05;80.78
197;2000-07-16;24.58;0.07;80.76
198;2000-07-17;25.04;0.41;81.69
199;2000-07-18;24.97;1.53;84.52
200;2000-07-19;25.18;0.34;80.52
201;2000-07-20;24.67;0.02;76.99
202;2000-07-21;23.95;0.0;76.79
203;2000-07-22;24.69;0.05;78.28
204;2000-07-23;24.77;0.06;81.01
205;2000-07-24;25.6;0.32;81.89
206;2000-07-25;25.41;1.82;80.65
207;2000-07-26;24.85;3.76;85.34
208;2000-07-27;25.18;4.27;82.57
209;2000-07-28;24.8;0.42;81.37
210;2000-07-29;25.13;0.23;79.96
211;2000-07-30;24.97;3.39;84.62
212;2000-07-31;25.13;2.4;84.6
213;2000-08-01;25.3;0.72;82.11
214;2000-08-02;25.1;0.93;78.77
215;2000-08-03;25.06;0.08;76.51
216;2000-08-04;25.02;0.13;77.64
217;2000-08-05;25.49;0.33;77.67
218;2000-08-06;25.39;2.55;82.31
219;2000-08-07;25.34;3.48;82.64
220;2000-08-08;25.45;1.39;80.06
221;2000-08-09;25.36;0.17;76.14
222;2000-08-10;24.87;0.02;73.8
223;2000-08-11;24.49;0.01;73.79
224;2000-08-12;24.93;0.01;73.67
225;2000-08-13;24.68;0.01;74.14
226;2000-08-14;25.3;0.28;78.11
227;2000-08-15;25.76;0.29;76.98
228;2000-08-16;25.51;0.18;74.76
229;2000-08-17;25.41;0.01;71.93
230;2000-08-18;24.95;0.01;73.0
231;2000-08-19;25.5;0.13;72.14
232;2000-08-20;25.37;0.11;73.55
233;2000-08-21;25.99;0.01;72.31
234;2000-08-22;25.87;0.01;75.45
235;2000-08-23;26.04;0.93;78.06
236;2000-08-24;25.69;1.39;81.42
237;2000-08-25;26.32;1.47;78.55
238;2000-08-26;26.01;0.65;77.6
239;2000-08-27;26.84;0.03;70.28
240;2000-08-28;26.97;0.02;69.71
241;2000-08-29;26.43;0.0;67.39
242;2000-08-30;26.01;0.0;68.22
243;2000-08-31;26.26;0.33;71.94
244;2000-09-01;26.75;0.11;72.16
245;2000-09-02;26.73;0.58;73.48
246;2000-09-03;26.86;0.0;73.78
247;2000-09-04;27.14;0.0;69.1
248;2000-09-05;26.67;0.06;70.76
249;2000-09-06;26.52;0.05;69.28
250;2000-09-07;26.72;0.02;68.49
251;2000-09-08;26.84;0.22;71.07
252;2000-09-09;26.85;0.0;66.83
253;2000-09-10;27.12;0.0;64.95
