LAT,LON,DATE,PRECTOT
-4.96019,119.56881,5/24/2000,2.15
-4.96019,119.56881,5/25/2000,2.11
-4.96019,119.56881,5/26/2000,8
-4.96019,119.56881,5/27/2000,10.51
-4.96019,119.56881,5/28/2000,1.98
-4.96019,119.56881,5/29/2000,0.34
-4.96019,119.56881,5/30/2000,1.93
-4.96019,119.56881,5/31/2000,5.16
-4.96019,119.56881,6/1/2000,21.07
-4.96019,119.56881,6/2/2000,6.07
-4.96019,119.56881,6/3/2000,3.37
-4.96019,119.56881,6/4/2000,1.92
-4.96019,119.56881,6/5/2000,0.18
-4.96019,119.56881,6/6/2000,1.68
-4.96019,119.56881,6/7/2000,4.38
-4.96019,119.56881,6/8/2000,6.04
-4.96019,119.56881,6/9/2000,4.01
-4.96019,119.56881,6/10/2000,17.25
-4.96019,119.56881,6/11/2000,3.5
-4.96019,119.56881,6/12/2000,1.17
-4.96019,119.56881,6/13/2000,2.35
-4.96019,119.56881,6/14/2000,2.15
-4.96019,119.56881,6/15/2000,6.93
-4.96019,119.56881,6/16/2000,3.5
-4.96019,119.56881,6/17/2000,0.73
-4.96019,119.56881,6/18/2000,3.15
-4.96019,119.56881,6/19/2000,7.78
-4.96019,119.56881,6/20/2000,8.88
-4.96019,119.56881,6/21/2000,9.02
-4.96019,119.56881,6/22/2000,1.76
-4.96019,119.56881,6/23/2000,3.39
-4.96019,119.56881,6/24/2000,2.43
-4.96019,119.56881,6/25/2000,1.13
-4.96019,119.56881,6/26/2000,10.08
-4.96019,119.56881,6/27/2000,2.78
-4.96019,119.56881,6/28/2000,6.05
-4.96019,119.56881,6/29/2000,2.57
-4.96019,119.56881,6/30/2000,0.96
-4.96019,119.56881,7/1/2000,0.98
-4.96019,119.56881,7/2/2000,1.75
-4.96019,119.56881,7/3/2000,5.66
-4.96019,119.56881,7/4/2000,24.83
-4.96019,119.56881,7/5/2000,5.12
-4.96019,119.56881,7/6/2000,1.81
-4.96019,119.56881,7/7/2000,1.18
-4.96019,119.56881,7/8/2000,0.66
-4.96019,119.56881,7/9/2000,1.21
