DATE,T2M,PRECTOT,RH2M
6/17/2000,25.82,0.73,82.87
6/18/2000,25.65,3.15,84.64
6/19/2000,25.45,7.78,87.79
6/20/2000,25.08,8.88,91.2
6/21/2000,25.45,9.02,88.93
6/22/2000,24.97,1.76,88.98
6/23/2000,25.14,3.39,84.68
6/24/2000,25.2,2.43,83.57
6/25/2000,25.27,1.13,82.43
6/26/2000,24.45,10.08,88.63
6/27/2000,24.29,2.78,89.41
6/28/2000,24.58,6.05,88.43
6/29/2000,24.4,2.57,87.17
6/30/2000,24.78,0.96,83.29
7/1/2000,25.19,0.98,83.02
7/2/2000,25.27,1.75,84.83
7/3/2000,25.34,5.66,85.92
7/4/2000,25.15,24.83,88.9
7/5/2000,25.59,5.12,86.68
7/6/2000,24.59,1.81,88.98
7/7/2000,24.59,1.18,86.35
7/8/2000,24.53,0.66,84.98
7/9/2000,24.63,1.21,84.88
7/10/2000,24.53,0.53,85.86
7/11/2000,25.16,0.36,84.32
7/12/2000,25.31,0.08,80.91
7/13/2000,24.68,0.18,79.41
7/14/2000,24.36,0.09,80.36
7/15/2000,24.4,0.05,80.78
7/16/2000,24.58,0.07,80.76
7/17/2000,25.04,0.41,81.69
7/18/2000,24.97,1.53,84.52
7/19/2000,25.18,0.34,80.52
7/20/2000,24.67,0.02,76.99
7/21/2000,23.95,0,76.79
7/22/2000,24.69,0.05,78.28
7/23/2000,24.77,0.06,81.01
7/24/2000,25.6,0.32,81.89
7/25/2000,25.41,1.82,80.65
7/26/2000,24.85,3.76,85.34
7/27/2000,25.18,4.27,82.57
7/28/2000,24.8,0.42,81.37
7/29/2000,25.13,0.23,79.96
7/30/2000,24.97,3.39,84.62
7/31/2000,25.13,2.4,84.6
8/1/2000,25.3,0.72,82.11
8/2/2000,25.1,0.93,78.77
8/3/2000,25.06,0.08,76.51
8/4/2000,25.02,0.13,77.64
8/5/2000,25.49,0.33,77.67
8/6/2000,25.39,2.55,82.31
8/7/2000,25.34,3.48,82.64
8/8/2000,25.45,1.39,80.06
8/9/2000,25.36,0.17,76.14
8/10/2000,24.87,0.02,73.8
8/11/2000,24.49,0.01,73.79
8/12/2000,24.93,0.01,73.67
8/13/2000,24.68,0.01,74.14
8/14/2000,25.3,0.28,78.11
8/15/2000,25.76,0.29,76.98
8/16/2000,25.51,0.18,74.76
8/17/2000,25.41,0.01,71.93
8/18/2000,24.95,0.01,73
8/19/2000,25.5,0.13,72.14
8/20/2000,25.37,0.11,73.55
8/21/2000,25.99,0.01,72.31
8/22/2000,25.87,0.01,75.45
8/23/2000,26.04,0.93,78.06
8/24/2000,25.69,1.39,81.42
8/25/2000,26.32,1.47,78.55
8/26/2000,26.01,0.65,77.6
8/27/2000,26.84,0.03,70.28
8/28/2000,26.97,0.02,69.71
8/29/2000,26.43,0,67.39
8/30/2000,26.01,0,68.22
8/31/2000,26.26,0.33,71.94
9/1/2000,26.75,0.11,72.16
9/2/2000,26.73,0.58,73.48
9/3/2000,26.86,0,73.78
9/4/2000,27.14,0,69.1
9/5/2000,26.67,0.06,70.76
9/6/2000,26.52,0.05,69.28
9/7/2000,26.72,0.02,68.49
9/8/2000,26.84,0.22,71.07
9/9/2000,26.85,0,66.83
9/10/2000,27.12,0,64.95
9/11/2000,27.07,0.04,66.52
9/12/2000,27.2,0.15,68.79
9/13/2000,27.09,0.01,69
9/14/2000,26.65,0.03,71.23
9/15/2000,27.5,0.04,65.53
9/16/2000,27.43,0.31,70
9/17/2000,27.28,1.05,73.04
9/18/2000,27.44,0.2,67.33
9/19/2000,27.76,0.11,64.73
9/20/2000,27.13,0.09,67.59
9/21/2000,27.65,0.12,69.67
9/22/2000,27.55,0.75,72.24
9/23/2000,27.69,1.19,69.92
9/24/2000,27.75,2.27,70.89
9/25/2000,27.33,2.48,71.18
9/26/2000,27.76,0.08,64.21
9/27/2000,27.95,0.05,67.15
9/28/2000,27.36,12.33,74.77
9/29/2000,27.45,5.24,71.66
9/30/2000,27.61,0.3,68.98
10/1/2000,27.89,1.02,71.72
10/2/2000,27.89,2.08,72.1
10/3/2000,27.12,1.02,74.76
