LAT,LON,DATE,T2M,PRECTOT,RH2M
-5.04629,119.68471,4/16/2000,26.23,2.35,85.11
-5.04629,119.68471,4/17/2000,26.18,3.11,82.79
-5.04629,119.68471,4/18/2000,25.88,4.92,83.82
-5.04629,119.68471,4/19/2000,26.03,1.83,83.38
-5.04629,119.68471,4/20/2000,26.12,13.86,86.64
-5.04629,119.68471,4/21/2000,25.79,5.12,89.79
-5.04629,119.68471,4/22/2000,26.16,3.03,85.08
-5.04629,119.68471,4/23/2000,26.13,3.82,85.44
-5.04629,119.68471,4/24/2000,25.83,6.07,87.98
-5.04629,119.68471,4/25/2000,25.54,4.06,89.33
-5.04629,119.68471,4/26/2000,26.23,1.59,83.07
-5.04629,119.68471,4/27/2000,25.84,5.73,88.63
-5.04629,119.68471,4/28/2000,25.97,7.57,89.32
-5.04629,119.68471,4/29/2000,25.41,6.79,90.32
-5.04629,119.68471,4/30/2000,25.48,6.33,86.93
-5.04629,119.68471,5/1/2000,25.61,4.39,86.36
-5.04629,119.68471,5/2/2000,25.9,3.33,82.81
-5.04629,119.68471,5/3/2000,26.15,2.2,79.66
-5.04629,119.68471,5/4/2000,26.12,2.09,80.64
-5.04629,119.68471,5/5/2000,26.09,0.8,81.21
-5.04629,119.68471,5/6/2000,26.07,2.25,82.83
-5.04629,119.68471,5/7/2000,25.84,3.35,85.27
-5.04629,119.68471,5/8/2000,25.56,1.93,85.09
-5.04629,119.68471,5/9/2000,25.46,1.99,84.68
-5.04629,119.68471,5/10/2000,26.23,0.21,80.3
-5.04629,119.68471,5/11/2000,26.07,0.09,82.06
-5.04629,119.68471,5/12/2000,26.4,0.56,81
-5.04629,119.68471,5/13/2000,26.58,0.33,81.91
-5.04629,119.68471,5/14/2000,26.66,0.95,77.64
-5.04629,119.68471,5/15/2000,26.28,2.37,84.59
-5.04629,119.68471,5/16/2000,26.13,2.05,85.45
-5.04629,119.68471,5/17/2000,25.46,2.3,86.52
-5.04629,119.68471,5/18/2000,25.08,1.84,87.73
-5.04629,119.68471,5/19/2000,25.58,1.19,85.24
-5.04629,119.68471,5/20/2000,26.4,1.51,82.07
-5.04629,119.68471,5/21/2000,26.31,0.69,84.58
-5.04629,119.68471,5/22/2000,26.02,1.71,87
-5.04629,119.68471,5/23/2000,26.05,0.86,83.61
-5.04629,119.68471,5/24/2000,26.47,1.97,82.04
-5.04629,119.68471,5/25/2000,26.38,2.44,82.67
-5.04629,119.68471,5/26/2000,25.16,5.82,88.09
-5.04629,119.68471,5/27/2000,25.13,8.99,88.47
-5.04629,119.68471,5/28/2000,25.11,1.77,87.79
-5.04629,119.68471,5/29/2000,25.17,0.31,83.74
-5.04629,119.68471,5/30/2000,25.36,2.24,85.68
-5.04629,119.68471,5/31/2000,24.91,2.94,89.11
-5.04629,119.68471,6/1/2000,25.06,18.59,90.93
-5.04629,119.68471,6/2/2000,24.85,5.99,92.3
-5.04629,119.68471,6/3/2000,25.35,2.29,88.53
-5.04629,119.68471,6/4/2000,25.56,0.52,81.27
-5.04629,119.68471,6/5/2000,25.44,0.09,80.53
-5.04629,119.68471,6/6/2000,25.88,1.49,84.68
-5.04629,119.68471,6/7/2000,25.83,3.46,86.35
-5.04629,119.68471,6/8/2000,25.88,4.96,85.04
-5.04629,119.68471,6/9/2000,25.58,3.58,84.67
-5.04629,119.68471,6/10/2000,25.37,17.31,85.69
-5.04629,119.68471,6/11/2000,25.6,4.14,83.52
-5.04629,119.68471,6/12/2000,25.54,1.24,84.8
-5.04629,119.68471,6/13/2000,25.65,2.71,83.46
-5.04629,119.68471,6/14/2000,25.44,2.17,83.43
-5.04629,119.68471,6/15/2000,25.39,5.98,86.45
-5.04629,119.68471,6/16/2000,25.29,3.73,88.68
-5.04629,119.68471,6/17/2000,25.82,0.85,82.91
-5.04629,119.68471,6/18/2000,25.59,3.31,84.29
-5.04629,119.68471,6/19/2000,25.65,7.01,85.65
-5.04629,119.68471,6/20/2000,25.32,8.65,88.04
-5.04629,119.68471,6/21/2000,25.48,11.9,86.92
-5.04629,119.68471,6/22/2000,25.21,2.87,86.24
-5.04629,119.68471,6/23/2000,25.2,5.13,82.54
-5.04629,119.68471,6/24/2000,25.34,3.73,81.07
-5.04629,119.68471,6/25/2000,25.29,1.55,80.31
-5.04629,119.68471,6/26/2000,24.68,9.59,85
-5.04629,119.68471,6/27/2000,24.67,4.17,85.84
-5.04629,119.68471,6/28/2000,24.66,6.72,87.04
-5.04629,119.68471,6/29/2000,24.38,2.44,85.72
-5.04629,119.68471,6/30/2000,24.78,0.5,82.48
-5.04629,119.68471,7/1/2000,25.07,0.96,82.45
-5.04629,119.68471,7/2/2000,25.23,1.71,83.74
-5.04629,119.68471,7/3/2000,25.18,6.55,85.4
-5.04629,119.68471,7/4/2000,25.11,24.05,87.46
-5.04629,119.68471,7/5/2000,25.41,6.87,85.99
-5.04629,119.68471,7/6/2000,24.69,1.67,87.21
-5.04629,119.68471,7/7/2000,24.75,0.64,84.1
-5.04629,119.68471,7/8/2000,24.48,0.5,84.2
-5.04629,119.68471,7/9/2000,24.62,0.62,84.19
-5.04629,119.68471,7/10/2000,24.6,0.41,85.08
-5.04629,119.68471,7/11/2000,25.01,0.18,84.47
-5.04629,119.68471,7/12/2000,25.08,0.02,80.88
-5.04629,119.68471,7/13/2000,24.43,0.02,79.6
-5.04629,119.68471,7/14/2000,24.3,0.02,80.28
-5.04629,119.68471,7/15/2000,24.38,0.05,79.95
-5.04629,119.68471,7/16/2000,24.62,0.1,79.53
-5.04629,119.68471,7/17/2000,24.97,0.33,80.8
-5.04629,119.68471,7/18/2000,25.03,1.03,82.16
-5.04629,119.68471,7/19/2000,25.04,0.32,79.46
-5.04629,119.68471,7/20/2000,24.53,0.07,76.19
-5.04629,119.68471,7/21/2000,23.95,0,75.53
-5.04629,119.68471,7/22/2000,24.45,0.03,78.42
-5.04629,119.68471,7/23/2000,24.53,0.12,81.78
-5.04629,119.68471,7/24/2000,25.42,0.39,82.3
-5.04629,119.68471,7/25/2000,25.18,0.95,80.97
-5.04629,119.68471,7/26/2000,24.95,2.44,84.04
-5.04629,119.68471,7/27/2000,25.11,2.35,82.22
-5.04629,119.68471,7/28/2000,24.8,0.19,80.82
-5.04629,119.68471,7/29/2000,24.99,0.17,79.48
-5.04629,119.68471,7/30/2000,24.95,2.77,83.35
-5.04629,119.68471,7/31/2000,25.17,2.23,83.11
-5.04629,119.68471,8/1/2000,25.23,0.48,81.86
-5.04629,119.68471,8/2/2000,25.04,0.45,77.93
-5.04629,119.68471,8/3/2000,25.02,0.05,76.79
-5.04629,119.68471,8/4/2000,24.91,0.12,76.99
-5.04629,119.68471,8/5/2000,25.27,0.24,77.94
-5.04629,119.68471,8/6/2000,25.33,2.27,81.42
-5.04629,119.68471,8/7/2000,25.26,3.99,82.16
-5.04629,119.68471,8/8/2000,25.29,0.79,79.94
-5.04629,119.68471,8/9/2000,25.26,0.07,76.39
-5.04629,119.68471,8/10/2000,24.66,0,74.63
-5.04629,119.68471,8/11/2000,24.36,0.01,74.58
-5.04629,119.68471,8/12/2000,24.72,0.01,74.86
-5.04629,119.68471,8/13/2000,24.42,0.01,76.25
