LAT,LON,DATE,T2M,PRECTOT,RH2M
-4.96019,119.56881,4/16/2000,26.22,2.38,85.34
-4.96019,119.56881,4/17/2000,26.18,2.98,84.27
-4.96019,119.56881,4/18/2000,25.62,4.94,85.28
-4.96019,119.56881,4/19/2000,26.03,1.6,83.98
-4.96019,119.56881,4/20/2000,26.16,14.05,85.99
-4.96019,119.56881,4/21/2000,25.76,4.19,89.77
-4.96019,119.56881,4/22/2000,26.41,4.89,85.13
-4.96019,119.56881,4/23/2000,26.04,6.03,87
-4.96019,119.56881,4/24/2000,25.95,7.61,87.47
-4.96019,119.56881,4/25/2000,25.76,5.62,89.27
-4.96019,119.56881,4/26/2000,26.19,2.45,84.48
-4.96019,119.56881,4/27/2000,25.58,7.39,90.78
-4.96019,119.56881,4/28/2000,25.69,9.09,91.28
-4.96019,119.56881,4/29/2000,25.37,8.09,91.67
-4.96019,119.56881,4/30/2000,25.56,6.74,87.13
-4.96019,119.56881,5/1/2000,25.76,6.31,86.75
-4.96019,119.56881,5/2/2000,25.84,3.23,86.15
-4.96019,119.56881,5/3/2000,26.21,2.94,81.91
-4.96019,119.56881,5/4/2000,25.97,2.12,82.15
-4.96019,119.56881,5/5/2000,26.11,1.03,82.25
-4.96019,119.56881,5/6/2000,26.21,3.2,82.96
-4.96019,119.56881,5/7/2000,26.02,5.47,85.07
-4.96019,119.56881,5/8/2000,25.6,2.8,84.84
-4.96019,119.56881,5/9/2000,25.37,3.29,85.23
-4.96019,119.56881,5/10/2000,26.67,0.45,75.81
-4.96019,119.56881,5/11/2000,26.39,0.09,79.93
-4.96019,119.56881,5/12/2000,26.85,0.48,79.01
-4.96019,119.56881,5/13/2000,26.91,0.58,80.48
-4.96019,119.56881,5/14/2000,26.95,2.2,76.06
-4.96019,119.56881,5/15/2000,26.24,5.37,85.4
-4.96019,119.56881,5/16/2000,26.19,3.52,86.15
-4.96019,119.56881,5/17/2000,25.58,4.11,86.28
-4.96019,119.56881,5/18/2000,25.5,2.43,86.12
-4.96019,119.56881,5/19/2000,25.48,1.62,86.57
-4.96019,119.56881,5/20/2000,26.51,2.65,81.02
-4.96019,119.56881,5/21/2000,26.22,1.13,85.98
-4.96019,119.56881,5/22/2000,25.85,2.64,88.17
